,file,channel,n_hfos,duration_samples,duration_sec
0,sub-01_ses-01_task-hfo_run-01_eeg.edf,Fp1-Fp2,0,0,0.0
1,sub-01_ses-01_task-hfo_run-01_eeg.edf,Fp1-F7,2,200,0.4
2,sub-01_ses-01_task-hfo_run-01_eeg.edf,F7-T3,3,279,0.558
3,sub-01_ses-01_task-hfo_run-01_eeg.edf,T3-T5,0,0,0.0
4,sub-01_ses-01_task-hfo_run-01_eeg.edf,T5-O1,0,0,0.0
5,sub-01_ses-01_task-hfo_run-01_eeg.edf,Fp2-F8,0,0,0.0
6,sub-01_ses-01_task-hfo_run-01_eeg.edf,F8-T4,0,0,0.0
7,sub-01_ses-01_task-hfo_run-01_eeg.edf,T4-T6,0,0,0.0
8,sub-01_ses-01_task-hfo_run-01_eeg.edf,T6-O2,0,0,0.0
9,sub-01_ses-01_task-hfo_run-01_eeg.edf,Fp1-F3,2,107,0.214
10,sub-01_ses-01_task-hfo_run-01_eeg.edf,F3-C3,2,218,0.436
11,sub-01_ses-01_task-hfo_run-01_eeg.edf,C3-P3,3,138,0.276
12,sub-01_ses-01_task-hfo_run-01_eeg.edf,P3-O1,1,49,0.098
13,sub-01_ses-01_task-hfo_run-01_eeg.edf,Fp2-F4,0,0,0.0
14,sub-01_ses-01_task-hfo_run-01_eeg.edf,F4-C4,0,0,0.0
15,sub-01_ses-01_task-hfo_run-01_eeg.edf,C4-P4,0,0,0.0
16,sub-01_ses-01_task-hfo_run-01_eeg.edf,P4-O2,0,0,0.0
17,sub-01_ses-01_task-hfo_run-01_eeg.edf,Fz-Cz,0,0,0.0
18,sub-01_ses-01_task-hfo_run-01_eeg.edf,Cz-Pz,1,48,0.096
19,sub-01_ses-01_task-hfo_run-01_eeg.edf,Fp1-Fz,0,0,0.0
20,sub-01_ses-01_task-hfo_run-01_eeg.edf,Fp2-Fz,0,0,0.0
21,sub-01_ses-01_task-hfo_run-01_eeg.edf,F7-F3,2,152,0.304
22,sub-01_ses-01_task-hfo_run-01_eeg.edf,F3-Fz,1,43,0.086
23,sub-01_ses-01_task-hfo_run-01_eeg.edf,F8-F4,0,0,0.0
24,sub-01_ses-01_task-hfo_run-01_eeg.edf,F4-Fz,0,0,0.0
25,sub-01_ses-01_task-hfo_run-01_eeg.edf,T3-C3,2,99,0.198
26,sub-01_ses-01_task-hfo_run-01_eeg.edf,C3-Cz,0,0,0.0
27,sub-01_ses-01_task-hfo_run-01_eeg.edf,T4-C4,0,0,0.0
28,sub-01_ses-01_task-hfo_run-01_eeg.edf,C4-Cz,0,0,0.0
29,sub-01_ses-01_task-hfo_run-01_eeg.edf,T5-P3,2,100,0.2
30,sub-01_ses-01_task-hfo_run-01_eeg.edf,P3-Pz,2,101,0.202
31,sub-01_ses-01_task-hfo_run-01_eeg.edf,T6-P4,0,0,0.0
32,sub-01_ses-01_task-hfo_run-01_eeg.edf,P4-Pz,0,0,0.0
33,sub-01_ses-01_task-hfo_run-01_eeg.edf,Pz-O1,0,0,0.0
34,sub-01_ses-01_task-hfo_run-01_eeg.edf,Pz-O2,0,0,0.0
35,sub-01_ses-01_task-hfo_run-01_eeg.edf,O1-O2,0,0,0.0
36,sub-01_ses-01_task-hfo_run-01_eeg.edf,F7-C3,2,252,0.504
37,sub-01_ses-01_task-hfo_run-01_eeg.edf,C3-Fz,0,0,0.0
38,sub-01_ses-01_task-hfo_run-01_eeg.edf,F8-C4,0,0,0.0
39,sub-01_ses-01_task-hfo_run-01_eeg.edf,C4-Fz,0,0,0.0
40,sub-01_ses-01_task-hfo_run-01_eeg.edf,T5-C3,0,0,0.0
41,sub-01_ses-01_task-hfo_run-01_eeg.edf,C3-Pz,0,0,0.0
42,sub-01_ses-01_task-hfo_run-01_eeg.edf,T6-C4,0,0,0.0
43,sub-01_ses-01_task-hfo_run-01_eeg.edf,C4-Pz,0,0,0.0
44,sub-01_ses-01_task-hfo_run-01_eeg.edf,T3-P3,0,0,0.0
45,sub-01_ses-01_task-hfo_run-01_eeg.edf,P3-Cz,1,48,0.096
46,sub-01_ses-01_task-hfo_run-01_eeg.edf,T4-P4,0,0,0.0
47,sub-01_ses-01_task-hfo_run-01_eeg.edf,P4-Cz,0,0,0.0
48,sub-01_ses-01_task-hfo_run-01_eeg.edf,T3-F3,4,301,0.602
49,sub-01_ses-01_task-hfo_run-01_eeg.edf,F3-Cz,0,0,0.0
50,sub-01_ses-01_task-hfo_run-01_eeg.edf,T4-F4,0,0,0.0
51,sub-01_ses-01_task-hfo_run-01_eeg.edf,F4-Cz,0,0,0.0
52,sub-01_ses-01_task-hfo_run-02_eeg.edf,Fp1-Fp2,0,0,0.0
53,sub-01_ses-01_task-hfo_run-02_eeg.edf,Fp1-F7,1,63,0.126
54,sub-01_ses-01_task-hfo_run-02_eeg.edf,F7-T3,3,192,0.384
55,sub-01_ses-01_task-hfo_run-02_eeg.edf,T3-T5,1,42,0.084
56,sub-01_ses-01_task-hfo_run-02_eeg.edf,T5-O1,0,0,0.0
